speech_id,date,title,tone_mean,tone_median,pos_share,neg_share,neu_share,n_sent,label_majority
175,2016-02-10,Sustainable Inclusive Growth & Good Governance,-0.5205132445808133,-0.5125019550323486,0.0,1.0,0.0,54.0,negative
176,2016-01-19,The BSP and The Philippine Banking Sector: Sustaining Financial Stability Amid Global Volatility,-0.5245925189421694,-0.5189039707183838,0.0,1.0,0.0,78.0,negative
177,2016-01-07,Looking Back to Move Ahead in 2016,-0.5221056379744264,-0.5188648700714111,0.0,1.0,0.0,112.0,negative
178,2015-11-24,Steer Toward True North,-0.5143474956246508,-0.5091910362243652,0.0,1.0,0.0,122.0,negative
179,2015-11-24,Evolving Cyber Threats: Are We Prepared?,-0.5092825676236764,-0.5033909678459167,0.0,1.0,0.0,73.0,negative
180,2015-11-14,Of Ironies and Synergy,-0.5006087134526848,-0.4967583119869232,0.0,1.0,0.0,113.0,negative
181,2015-11-03,Launching of the Paranaque City Credit Surety Fund,-0.4968285132387089,-0.4863939881324768,0.0,1.0,0.0,42.0,negative
182,2015-10-27,Scaling Up Inroads in Financial Inclusion for a Quantum Leap,-0.5054726996455594,-0.4962815046310425,0.0,1.0,0.0,88.0,negative
183,2015-10-20,Pushing the Island's Boundaries,-0.5100444256333831,-0.5031758546829224,0.0,1.0,0.0,119.0,negative
184,2015-10-02,Prospects for and Developments in the Philippine Banking System,-0.5087978802829223,-0.5034686923027039,0.0,1.0,0.0,116.0,negative
185,2015-09-29,Navigating Thru the Waters of Change...and Butterflies.,-0.520567142694451,-0.5099758505821228,0.0,1.0,0.0,120.0,negative
186,2015-09-16,"Consultation, Collaboration and Cooperation: Moving the Capital Market Agenda Forward",-0.5126095208761796,-0.5088884830474854,0.0,1.0,0.0,52.0,negative
187,2015-09-02,Animal Spirits in a Period of Volatility,-0.5295252616054558,-0.5244718790054321,0.0,1.0,0.0,126.0,negative
188,2015-08-28,Scaling Up for a More Inclusive and More Responsive Financial System,-0.5078608338496392,-0.5085449814796448,0.0,1.0,0.0,76.0,negative
189,2015-08-07,Philippine History Wrought in Gold,-0.5144379169406514,-0.5227879285812378,0.0,1.0,0.0,25.0,negative
190,2015-07-24,BANCNET 25th Anniversary,-0.515179037458479,-0.5152034759521484,0.0,1.0,0.0,29.0,negative
191,2015-07-21,Opportunities in Financial Inclusion and Financial Integration,-0.5157439789935424,-0.511566698551178,0.0,1.0,0.0,93.0,negative
192,2015-07-03,We Are All Wealth Watchers,-0.5113002523968492,-0.5051873922348022,0.0,1.0,0.0,44.0,negative
193,2015-07-02,Building Public Trust Through Responsible Governance,-0.5214202749422209,-0.5154808759689331,0.0,1.0,0.0,114.0,negative
194,2015-07-01,National Strategy for Financial Inclusion: Our Platform to Provide Better Lives,-0.5145301057652394,-0.5065659284591675,0.0,1.0,0.0,57.0,negative
195,2015-06-26,Celebrating Freedom and Responsibility,-0.5222846181142671,-0.5213229656219482,0.0,1.0,0.0,100.0,negative
196,2015-06-17,Adapting to Change.. Creating Advantages from Challenges,-0.5144416960048865,-0.5135266780853271,0.0,1.0,0.0,101.0,negative
197,2015-06-10,Developing the Philippine Capital Market: Leveraging Policy Intentions into Concrete Actions,-0.5082799744563049,-0.506101131439209,0.0,1.0,0.0,78.0,negative
198,2015-06-03,Progress and Challenges in the Philippine Financial System,-0.526646349273556,-0.5131332278251648,0.0,1.0,0.0,95.0,negative
199,2015-05-22,Generating More Winners in Microfinance,-0.49641283179599854,-0.49299004673957825,0.0,1.0,0.0,49.0,negative
